entity_id,entity_alias_readable
716,Atlantic menhaden
717,Agave
718,Narrowleaf cattail
719,Jellyfish
720,Anchovy
721,Blue whiting
722,Carp bream
723,Chanterelle
724,Sturgeon
725,Charr
726,Common dab
727,Spiny dogfish
728,Anatidae
729,Anguilliformes
730,True frog
731,Garfish
732,Gadiformes
733,Mountain hare
734,Lake trout
735,Lemon sole
736,Lumpsucker
737,Scombridae
738,Norway haddock
739,Norway pout
740,Oil palm
741,Sago palm
742,Persimmon
743,Pikeperch
744,Pleuronectidae
745,Rock ptarmigan
746,Pacific ocean perch
747,Black salsify
748,True seal
749,Red algae
750,Kombu
751,Snail
752,True sole
753,Catfish
754,Thistle
755,Common Tuna
756,Cetacea
757,Columbidae
758,Conch
759,Berry wine
762,Vodka
763,Ice cream
764,Vermouth
765,Madeira wine
766,Nougat
767,Toffee
768,Cake
769,Pizza
770,Ymer
771,Other snack food
772,Pastry
773,Dragée
774,Chewing gum
775,Marzipan
776,Salad dressing
777,Sauce
778,Salt
780,Cream
781,Sugar
782,Sausage
783,Meatball
784,Pate
785,Sugar substitute
786,Meat bouillon
787,Other meat product
788,Whey
789,Casein
790,Fruit preserve
791,Leavening agent
792,Marshmallow
793,Gelatin
794,Water
795,Other fish product
796,Milk Human
799,Dumpling
800,Soup
803,Syrup
805,Remoulade
806,Chocolate spread
807,Fruit gum
810,Meringue
814,Cocoa butter
815,Cocoa powder
817,Chocolate
818,Hot chocolate
820,Kefir
821,Other fermented milk
822,Miso
823,Tofu
824,Zwieback
825,Roe
826,Cichlidae
827,Icing
828,Snack bar
829,Green turtle
830,Energy drink
831,Burrito
832,Hamburger
833,Chili
834,Taco
835,Tortilla
836,Nachos
837,Salad
839,Dulce de leche
840,Topping
841,Sweet custard
842,Egg roll
843,Heart of palm
845,Potato chip
846,Tortilla chip
847,Corn chip
848,Hibiscus tea
849,Stew
850,Gelatin dessert
851,Junket
852,Falafel
853,Frybread
854,Other-frozen-dessert
855,Lasagna
856,Morchella
857,Pancake
858,Pectin
859,Pudding
860,Waffle
861,Soy milk
862,Meatloaf
863,Cocktail
864,Couscous
865,Bulgur
867,Coffee mocha
868,Chimichanga
869,Semolina
870,Tapioca pearl
871,Tostada
872,Quesadilla
873,Baked potato
874,Hot dog
875,Spread
876,Enchilada
878,Nutritional drink
879,Other sandwich
880,Ketchup
881,Breakfast sandwich
882,Adobo
883,Macaroni and cheese
884,Horned melon
885,Hushpuppy
886,Fruit juice
887,Relish
889,Fruit salad
890,Soy yogurt
891,Vegetarian food
893,Cold cut
894,Mixed nuts
895,Babassu palm
896,Cupuau
897,Shea tree
898,Oil-seed Camellia
899,Ucuhuba
900,Phyllo dough
901,Cooking oil
902,Pie crust
904,Pie
905,Shortening
906,Soy cream
907,Ice cream cone
908,Molasses
909,Nance
911,Natto
912,Ravioli
913,Scrapple
914,Other pasta dish
915,Succotash
916,Tamale
917,Rice cake
918,Tree fern
919,Evaporated milk
920,Flour
921,Akutaq
923,Pita bread
924,Focaccia
925,Bagel
926,Other bread product
927,Piki bread
928,French toast
929,Oat bread
930,Potato bread
931,Cornbread
932,Corn grits
933,Multigrain bread
934,Rice bread
935,Pan dulce
936,Raisin bread
937,Wonton wrapper
938,Trail mix
939,Greenthread tea
941,Vegetable juice
942,Horchata
943,Soft drink
944,Milkshake
945,Chocolate mousse
947,Pupusa
948,Empanada
949,Arepa
950,Ascidians
951,Gefilte fish
952,Yellow pond lily
953,Fish burger
954,Other dish
955,Pot pie
956,Stuffing
958,Fudge
959,Candy bar
960,Condensed milk
961,Margarine
962,Margarine like spread
963,Hummus
964,Potato puffs
965,Potato gratin
967,Chinese bayberry
968,Green zucchini
969,Yellow zucchini
970,Saskatoon berry
971,Nanking cherry
972,Japanese pumpkin
977,Guinea hen
978,Cucurbita
